id,descripcion
1,
2,Lesión frágil elevada con contenido líquido de hasta 5 mm de diametro
3,Úlcera que es la primera manifestaciín de la sifilis
4,Bnada de tejido de aspecto lineal o engrosado
5,Lesión secundaria por desecación de sangre. exudado. secreción o restos celulares
6,Mancha lisa rojiza asociada la perdida de papilas gustativas
7,Desprendimiento o pérdida de las capas más superficiales de la epidermis
8,Aumento de volumen causado por la acumulación de liquido en el tejido intersticial
9,Lesión plana sin relieve de color rojo
10,Pérdida superficial del epitelio sin llegar a exponer la capa basal
11,Lesión lineal o corte superficial de los tejidos blandos
12,Lesión destructiva que aparecen en la sifilis terciaria
13,Lesión plana sin relieve bien circuscrita con cambio de coloración
14,Lesión elevada sólida de más de 5mm hasta 2 cm de diametro
15,Lesión elevada sólida de hasta 5 mm
16,Lesión elevada sólida superficie lisa bien circuscrita  de más de 5 mm de diametro
17,Elevaciones o arrugas en la mucosa
18,Sensación irritante que genera un impulso incontrolable de rascarse
19,Lesión elevada sólida de más de 2 centimetros de diametro
20,Solución de continuidad con pérdida completa del epitelio
21,Lesión elevada con contenido líquido mayor a 5 mm de diametro
