id,nombre,idLesiones
1,
2,Ampolla/Úlcera,2;20
3,Chancro,3
4,Cordones,4
5,Depapilación,6
6,Edema,8
7,Eritema,9
8,Eritema/Papula,9;15
9,Eritema/Prurito,9;18
10,Erosión,10
11,Fisura,11
12,Goma,12
13,Macula/Úlcera/Costra/Descamación,13;20;5;7
14,Maculas,13
15,Mácula,13
16,Mácula/Nódulo/Tumor,13;14;19
17,Mácula/Papula,13;15
18,Nódulo,14
19,Nódulo/Tumor,14;19
20,Papula,13
21,Papula/Nódulo,13;14
22,Placa,16
23,Placa/Erosión,16;10
24,Placa/Úlcera/Nódulo/Tumor,16;20;14;19
25,Placas,16
26,Pliegues,17
27,Tumor,19
28,Vesiculas,21
29,Vesícula,21
30,Vesícula/Úlcera/Costra,21;20;5
31,Úlcera,20
